Date,Open,High,Low,Close,Volume
1/1/13,5150.9,5184.3,5147.45,5174.95,18561877
1/2/13,5210.8,5242,5208.95,5237.6,27962155
1/3/13,5255.75,5255.75,5217.1,5238.95,28372022
1/4/13,5236.7,5244.05,5191.95,5237.6,27285247
1/7/13,5259.25,5259.25,5176.5,5188.3,22707212
1/8/13,5182.25,5220.9,5166.75,5211.85,23679813
1/9/13,5211.25,5220.4,5181.5,5191.35,27345341
1/10/13,5217.5,5219.35,5173.25,5207.7,25154998
1/11/13,5219.55,5220.35,5112.6,5125.3,21260589
1/14/13,5127.2,5200.85,5115.85,5187.3,27953604
1/15/13,5194.6,5226.25,5161.1,5210.35,26153881
1/16/13,5205.05,5205.4,5122.8,5131.3,24392657
1/17/13,5122.3,5143.95,5101.5,5119.5,26848773
1/18/13,5136.2,5171.65,5133.35,5153.15,28836800
1/21/13,5156.2,5160.3,5127.45,5139.6,23709812
1/22/13,5133.7,5165.05,5100.5,5111.55,26739155
1/23/13,5134.05,5153.7,5089.9,5134.3,23809638
1/24/13,5127.05,5140.05,5077.35,5085.6,25297136
1/25/13,5089.8,5142.6,5073.05,5132.45,24781600
1/28/13,5141.9,5167.25,5129.95,5158.8,25467077
1/29/13,5164.75,5216.2,5131.3,5147.15,44995944
1/30/13,5162.75,5173.4,5142.6,5152.85,29880181
1/31/13,5140.1,5170.5,5105.05,5112.85,46973584
2/1/13,5118.05,5127.75,5056.35,5063.6,25186378
2/4/13,5087.2,5129.25,5076.3,5086.35,45293679
2/5/13,5039.2,5072.5,5039.2,5059.05,31981625
2/6/13,5086.5,5097.05,5052.3,5061.2,32443120
2/7/13,5042.85,5099.25,5037.95,5049.25,30888864
2/8/13,5042.8,5070.9,5004.95,5022.85,31329616
2/11/13,5028.2,5037.05,5000.15,5018.8,28557264
2/12/13,5017.1,5037.65,5006.65,5031.4,26077078
2/13/13,5046.35,5074.15,5038.95,5047,30073992
2/14/13,5049.7,5053.9,5001.8,5012.6,37453158
2/15/13,4999.6,5034.1,4989.2,5020.25,29438418
2/18/13,5024.45,5056.65,5015.5,5043.3,22894603
2/19/13,5044.55,5071.6,5023.5,5065.95,21171862
2/20/13,5085.45,5089.15,5039.65,5046.2,25985278
2/21/13,5016.65,5023.3,4932.2,4938.6,61749439
2/22/13,4922.8,4950.6,4902.5,4922.5,28567607
2/25/13,4945.3,4959.7,4901.35,4928.25,28517261
2/26/13,4910.95,4910.95,4805.85,4818.75,27669621
2/27/13,4836.2,4873.4,4818.2,4855,36405029
2/28/13,4883.7,4898.75,4659.35,4685.35,67793168
3/1/13,4698.1,4740.2,4678.65,4718.95,46539920
3/4/13,4702.75,4738.25,4682.05,4723.85,31925293
3/5/13,4749.5,4805.6,4743.8,4798.6,36481741
3/6/13,4827.35,4839.3,4809.8,4835,34800025
3/7/13,4815.8,4887.65,4810.3,4876.35,27876583
3/8/13,4897.5,4997.25,4897.5,4988.45,35192134
3/11/13,4996.35,5025.55,4981.15,4993.5,26904033
3/12/13,4990.6,4999.85,4914.75,4942.55,27326025
3/13/13,4913.35,4914,4824.25,4834.25,25490230
3/14/13,4829.15,4936.85,4752.3,4920.1,47422902
3/15/13,4908.05,4949.05,4848.3,4867.1,42979324
3/18/13,4808.15,4854.55,4794.1,4829.3,29654678
3/19/13,4855.15,4856.75,4694.8,4721.95,49715229
3/20/13,4725.25,4729.75,4623.25,4628.65,42651886
3/21/13,4638.8,4754.8,4634.35,4644.85,51859083
3/22/13,4652.85,4683.2,4624.95,4638.2,42221126
3/25/13,4700.15,4717.3,4616.7,4629.6,41462496
3/26/13,4607.7,4680.15,4604.4,4667.3,35198768
3/28/13,4681.15,4748.2,4621.25,4732.25,41234349
4/1/13,4750.1,4770.45,4718.4,4749.5,19941103
4/2/13,4753.05,4775.15,4715.7,4764.4,24254288
4/3/13,4762.45,4777.25,4682.3,4703.85,33514300
